"timestamp","file_name","file_path","file_size_MB","canonical_table_id","dimension_type","n_rows","n_cols","data_year","data_source","table_type","data_description","dim_description","user_note","user"
"2025-12-11 10:27:01","cast25_core_fact.csv","T:\Data Warehouse\Assessment\CAST\cast25_core_fact.csv",336.2,"cast25_core",NA,5483116,19,2025,"Assessment","fact","24-25 state-wide core CAST achievement columns",NA,"2025 CAST core test cols; mean scale score, met exceeded, etc; percentages and counts; no area; fact table","cmitchell"
"2025-12-11 10:27:58","cast25_area_fact.csv","T:\Data Warehouse\Assessment\CAST\cast25_area_fact.csv",630.7,"cast25_area",NA,12337011,15,2025,"Assessment","fact","24-25 state-wide area test CAST achievement columns",NA,"2025 CAST area test cols; 3 test areas; percentages and counts; no core; fact table","cmitchell"
"2025-12-11 10:31:04","cast25_districts_dim.csv","T:\Data Warehouse\Assessment\dim\cast25_districts_dim.csv",0.03,"cast25_districts","annualized",1007,3,2025,"Assessment","dim","District codes and names from 2025 CAST entity file",NA,"Districts have to be annualized; includes names, codes, and cds; dim; union with sbac for primary district list","cmitchell"
"2025-12-11 10:31:33","cast25_entities_dim.csv","T:\Data Warehouse\Assessment\dim\cast25_entities_dim.csv",0.42,"cast25_entities","annualized",11087,6,2025,"Assessment","dim","2025 Entity table with CDS, charter, org_level",NA,"Annualized table for schools and districts that have CAST scores; derived from entity file, dim","cmitchell"
"2025-12-11 10:32:03","cast25_schools_dim.csv","T:\Data Warehouse\Assessment\dim\cast25_schools_dim.csv",0.44,"cast25_schools","annualized",10021,5,2025,"Assessment","dim","School codes and names with CAST scores",NA,"2025 School entity list derived from CAST entity file; charter should be coded here; dim","cmitchell"
"2025-12-11 11:17:44","elpac25_core_fact.csv","T:\Data Warehouse\Assessment\ELPAC\elpac25_core_fact.csv",1128.03,"elpac25_core",NA,20367348,18,2025,"Assessment","fact","24-25 summative ELPAC scores for all students",NA,"2025 summative ELPAC core test cols; includes the three main core areas-- overall, oral, written; mean scale score but not met exceeded; percentages and counts; no domains; fact table","cmitchell"
"2025-12-11 11:23:48","elpac25_domain_fact.csv","T:\Data Warehouse\Assessment\ELPAC\elpac25_domain_fact.csv",1155.55,"elpac25_domain",NA,20367348,19,2025,"Assessment","fact","24-25 summative ELPAC scores for all students",NA,"2025 summative ELPAC domain test cols; includes the four domain areas-- listening, speaking, reading, writing; no mean scale score percentages and counts; unique suppression rules, dom_all_suppress and dom_partial_suppress refer to whether all the testing data are suppressed in a row; no core; fact table","cmitchell"
"2025-12-11 12:55:16","elpac25_entities_dim.csv","T:\Data Warehouse\Assessment\dim\elpac25_entities_dim.csv",0.41,"elpac25_entities","annualized",10880,6,2025,"Assessment","dim","2025 Entity table (county, district, school) for ELPAC scores",NA,"Dervied from provided entity file; CDS, org_level, year are unique; bridge dim","cmitchell"
"2025-12-11 12:55:19","elpac25_districts_dim.csv","T:\Data Warehouse\Assessment\dim\elpac25_districts_dim.csv",0.03,"elpac25_districts","annualized",959,3,2025,"Assessment","dim","District codes and names for ELPAC 24-25 scores",NA,"District names and codes for ELPAC scores; table has to remain annualized; might need composite foreign key; dim","cmitchell"
"2025-12-11 12:55:20","elpac25_schools_dim.csv","T:\Data Warehouse\Assessment\dim\elpac25_schools_dim.csv",0.43,"elpac25_schools","annualized",9863,5,2025,"Assessment","dim","School codes and names for ELPAC 24-25 scores",NA,"School codes, zip, and charter status for sites; has to remain annualized; might need composite foreign key; dim","cmitchell"
